블랙 팬서: 와칸다 포에버,블랙팬서는 가슴에 묻었어야한다 ... 나오지 말어야할 영화가 탄생했더 ,1
블랙 팬서: 와칸다 포에버,아니...3시간 안아까웠고 마블중에 젤 볼만했던거같음와칸다포에버 ^×^뀨?! ,10
늑대사냥,내용: 잔인하게 다 죽이는 거. 끝.           감상포인트  없음. ,3
당신은 아직 아무것도 보지 못했다,나는 아직 아무것도 보지 못했다 ,8
에브리씽 에브리웨어 올 앳 원스,뭐라고 형언할 수 없지만 만점... ,10
블랙 팬서: 와칸다 포에버,"이 영화를 본 관람객으로써 저의 객관적인 생각이 많이 들어 있는 글 입니다.솔직히 말해서 이번 블랙팬서 영화는 아무리 마블 영화의 팬 이라도 재밌다 라기 보다는 뭔가 많이 허전한 느낌이 많다고 생각되는 영화였습니다. 하지만 영화의 목적으로 보자면 허전한 느낌이 들 수 밖에 없다고 생각이 되네요. 이 영화가 만들어진 목적은 1대 블랙팬서 즉 채드윅 보스만을 추모하기 위해 만들어진 영화 입니다. 하지만 마블스튜디오는 히어로가 나오는 영화이고 이를 추모 한다는 목적과 다른 히어로, 즉 2대 블랙팬서와 아이언 하트를 영화에 넣는 것이 잘 맞아 떨어지지 않은 느낌이였습니다. 슈리가 2대 블랙팬서가 된다는 건 원작에서도 1대 블랙팬서가 죽었을때 이어받기도 하고 슈리가 블랙팬서가 된다는 것은 납득이 충분히 가고 이해는 되었습니다. 스포성이 있어 적지는 않겠지만 마지막 쿠키영상에서는 나중을 위한 빌드업이 괜찮았다고 생각합니다. 아이언 하트는 머... 솔직히 이건 저도 머라고 말해야 할지 감이 잡히지가 않네요. 드라마로도 나온다는데 드라마에서 스토리를 어떻게 풀어 나갈지 궁금하지만.. 정말 할말이 없네요. 탈로칸에 대해서는 정말 잘 만들었다고 생각합니다. 네이머가 자신의 왕국, 탈로칸을 지키려는 마음이 영화에 잘 표현이 되었다고 생각하고 탈로칸과 네이머에 대해서는 정말 좋았다고 생각합니다. 액션 부문에서는 너무 부실하다고 생각이 드네요. 마지막에 싸우는 장면은 좀 엑션영화 치고는 최악 까지는 아니더라고 좀 많이 좋지 않았다고 생각이 드네요. 결론적으론 추모영화로써는 정말 잘 만들었지만 엑션이나 아이언 하트 부분에서는 좋지 않았다고 생각이 드네요. ",7
프랙처드,결말 완전 어이없고 결국은 일장춘몽 ,2
존 말코비치 되기,20살때 보고 이해하기는 힘들었지만 정말 참신하고 신선한 소재라고 생각했다 ,8
런어웨이 브라이드,90년대 스타일의 헐리우드 로맨틱 코미디에 거부감이 없는 분들은 괜찮게 볼만한 영화입니다. 그리고 마일즈 데이비스 팬들이라면 반가울만한 장면들이 종종 나와요. (카페 꾸미기에 참고할만한 장면들도 자주 나오고요) ,9
고속도로 가족,나름대로 괜찮은 영화였습니다.이런 생각을 해봤습니다.영화를 그냥 만들었겠는가? ,10
